Year&Month,Total,Export,Import,Balance
2013.01,"21,787 ","11,776 ","10,010 ","1,766 "
2013.02,"16,555 ","8,747 ","7,808 ",939 
2013.03,"22,938 ","11,438 ","11,500 ",-61 
2013.04,"22,293 ","11,726 ","10,567 ","1,159 "
2013.05,"21,522 ","11,408 ","10,114 ","1,294 "
2013.06,"19,951 ","10,827 ","9,124 ","1,703 "
2013.07,"21,886 ","11,490 ","10,396 ","1,094 "
2013.08,"21,755 ","11,747 ","10,008 ","1,740 "
2013.09,"21,953 ","11,430 ","10,523 ",907 
2013.1,"20,905 ","11,412 ","9,493 ","1,919 "
2013.11,"22,737 ","12,411 ","10,325 ","2,086 "
2013.12,"23,888 ","12,718 ","11,170 ","1,547 "
2014.01,"23,371 ","12,664 ","10,707 ",1958
2014.02,"15,298 ","6,963 ","8,335 ",-1372
2014.03,"20,284 ","10,385 ","9,899 ",486
2014.04,"21,976 ","11,556 ","10,421 ",1135
2014.05,"21,849 ","12,036 ","9,813 ",2223
2014.06,"21,062 ","11,511 ","9,551 ",1961
2014.07,"23,277 ","13,099 ","10,177 ",2922
2014.08,"22,586 ","12,824 ","9,761 ",3063
2014.09,"24,385 ","13,152 ","11,234 ",1918
2014.1,"22,634 ","12,720 ","9,915 ",2805
2014.11,"22,648 ","13,006 ","9,643 ",3363
2014.12,"24,872 ","13,968 ","10,904 ",3064
2015.01,"20,857 ","12,240 ","8,617 ",3623
2015.02,"17,008 ","10,351 ","6,657 ",3694
2015.03,"17,550 ","8,848 ","8,702 ",146
2015.04,"19,586 ","10,815 ","8,771 ",2044
2015.05,"19,639 ","11,582 ","8,058 ",3524
2015.06,"20,437 ","11,598 ","8,839 ",2759
2015.07,"21,069 ","11,814 ","9,255 ",2558
2015.08,"20,349 ","11,998 ","8,352 ",3646
2015.09,"22,209 ","12,961 ","9,248 ",3713
2015.1,"20,589 ","12,249 ","8,340 ",3910
2015.11,"21,557 ","12,490 ","9,067 ",3423
2015.12,"24,652 ","14,221 ","10,431 ",3791
2016.01,"18,190 ","10,918 ","7,272 ",3647
2016.02,"14,055 ","7,931 ","6,124 ",1806
2016.03,"18,637 ","10,130 ","8,507 ",1622
2016.04,"19,114 ","10,861 ","8,253 ",2608
2016.05,"19,829 ","11,372 ","8,457 ",2915
2016.06,"20,066 ","11,499 ","8,567 ",2932
2016.07,"20,612 ","11,889 ","8,723 ",3167
2016.08,"21,855 ","12,593 ","9,263 ",3330
2016.09,"21,641 ","12,161 ","9,480 ",2680
2016.1,"20,345 ","11,769 ","8,576 ",3193
2016.11,"23,133 ","13,006 ","10,127 ",2879
2016.12,"25,909 ","14,291 ","11,618 ",2673
2017.01,"312,127 ","180,472 ","131,655 ","48,818 "
2017.02,"248,502 ","118,758 ","129,744 ","-10,987 "
2017.03,"335,547 ","179,017 ","156,531 ","22,486 "
2017.04,"318,883 ","177,583 ","141,300 ","36,283 "
2017.05,"338,204 ","189,008 ","149,196 ","39,811 "
2017.06,"348,358 ","194,850 ","153,508 ","41,342 "
2017.07,"339,308 ","192,165 ","147,143 ","45,022 "
2017.08,"355,763 ","198,093 ","157,670 ","40,424 "
2017.09,"368,173 ","197,933 ","170,239 ","27,694 "
2017.1,"338,607 ","187,845 ","150,761 ","37,084 "
2017.11,"392,899 ","215,851 ","177,049 ","38,802 "
2017.12,"408,846 ","231,754 ","177,093 ","54,661 "
2018.01,"380,620 ","199,469 ","181,151 ","18,319 "
2018.02,"308,893 ","170,549 ","138,345 ","32,204 "
2018.03,"353,595 ","173,900 ","179,694 ","-5,794 "
2018.04,"371,655 ","198,936 ","172,719 ","26,217 "
2018.05,"399,769 ","211,592 ","188,177 ","23,415 "
2018.06,"390,287 ","215,596 ","174,691 ","40,906 "
2018.07,"401,317 ","214,403 ","186,914 ","27,488 "
2018.08,"407,601 ","216,949 ","190,652 ","26,297 "
2018.09,"420,532 ","225,398 ","195,134 ","30,263 "
2018.1,"396,545 ","214,759 ","181,786 ","32,974 "
2018.11,"406,729 ","224,294 ","182,435 ","41,859 "
2018.12,"384,900 ","220,850 ","164,050 ","56,800 "
2019.01,"397,594 ","218,003 ","179,591 ","38,412 "
2019.02,"267,608 ","135,324 ","132,284 ","3,039 "
2019.03,"365,004 ",198231.8613,"166,772 ",31459.60403
2019.04,"374,020 ",193550.4971,"180,470 ",13080.73093
2019.05,"386,608 ",213919.2834,"172,689 ",41230.67404
2019.06,"375,205 ",212405.6048,"162,799 ",49606.47093
2019.07,"399,500 ",221783.8747,"177,716 ",44067.39404
2019.08,"395,065 ",214866.7396,"180,198 ",34668.53785
2019.09,"397,335 ",218195.387,"179,140 ",39055.85386
2019.10,"383,600 ",213022.6645,"170,577 ",42445.77815
2019.11,"405,551 ",221468.7231,"184,082 ",37386.4323
2019.12,"430,013 ",238653.0689,"191,360 ",47293.50223
2020.03,"24,456 ",12926,"11,530 ",1397
2020.04,"24,953 ","14,062 ","10,890 ",3172
2020.05,"24,736 ","14,586 ","10,151 ",4435
2020.06,"26,973 ","15,131 ","11,842 ",3289
2020.07,"29,270 ","16,846 ","12,424 ",4422
2020.08,"28,839 ","16,502 ","12,336 ",4166
2020.09,"30,663 ","16,620 ","14,043 ",2577
2020.1,"28,370 ","16,194 ","12,176 ",4018
