Year,Origin,Value
2012,THE MAINLAND OF CHINA,"1,834,455"
2012,TAIWAN,"291,781"
2012,KOREA,"193,693"
2012,JAPAN,"328,967"
2012,USA,"183,148"
2012,MALAYSIA,"105,289"
2012,SINGAPORE,"108,592"
2012,THAILAND,"79,472"
2012,INDIA,"101,263"
2012,VIET NAM,"40,618"
2012,Others,"644,885"
2013,THE MAINLAND OF CHINA,"1,905,219"
2013,TAIWAN,"308,708"
2013,KOREA,"196,888"
2013,JAPAN,"299,123"
2013,USA,"218,883"
2013,MALAYSIA,"105,944"
2013,SINGAPORE,"110,285"
2013,THAILAND,"83,232"
2013,INDIA,"109,527"
2013,VIET NAM,"48,781"
2013,Others,"674,127"
2014,THE MAINLAND OF CHINA,"1,949,233"
2014,TAIWAN,"358,009"
2014,KOREA,"207,872"
2014,JAPAN,"296,914"
2014,USA,"221,169"
2014,MALAYSIA,"126,757"
2014,SINGAPORE,"111,746"
2014,THAILAND,"88,970"
2014,INDIA,"124,802"
2014,VIET NAM,"46,211"
2014,Others,"687,364"
2015,THE MAINLAND OF CHINA,"1,956,479"
2015,TAIWAN,"340,112"
2015,KOREA,"202,948"
2015,JAPAN,"270,408"
2015,USA,"195,012"
2015,MALAYSIA,"124,917"
2015,SINGAPORE,"92,068"
2015,THAILAND,"85,581"
2015,INDIA,"114,633"
2015,VIET NAM,"57,415"
2015,Others,"606,847"
2016,THE MAINLAND OF CHINA,"1,867,361"
2016,TAIWAN,"376,409"
2016,KOREA,"231,617"
2016,JAPAN,"260,053"
2016,USA,"187,756"
2016,MALAYSIA,"128,057"
2016,SINGAPORE,"91,207"
2016,THAILAND,"86,055"
2016,INDIA,"128,772"
2016,VIET NAM,"58,394"
2016,Others,"592,701"
2017,THE MAINLAND OF CHINA,"1,981,274"
2017,TAIWAN,"427,118"
2017,KOREA,"292,734"
2017,JAPAN,"274,471"
2017,USA,"191,524"
2017,MALAYSIA,"142,205"
2017,SINGAPORE,"101,577"
2017,THAILAND,"93,737"
2017,INDIA,"144,715"
2017,VIET NAM,"66,635"
2017,Others,"641,013"
2018,THE MAINLAND OF CHINA,"2,134,645"
2018,TAIWAN,"457,805"
2018,KOREA,"323,833"
2018,JAPAN,"279,150"
2018,USA,"199,237"
2018,MALAYSIA,"193,467"
2018,SINGAPORE,"116,687"
2018,THAILAND,"103,707"
2018,INDIA,"118,102"
2018,VIET NAM,"72,240"
2018,Others,"722,525"
2019,THE MAINLAND OF CHINA,"1,985,780"
2019,TAIWAN,"452,633"
2019,KOREA,"269,954"
2019,JAPAN,"257,786"
2019,USA,"192,279"
2019,MALAYSIA,"161,836"
2019,SINGAPORE,"107,797"
2019,THAILAND,"102,323"
2019,INDIA,"98,072"
2019,VIET NAM,"85,029"
2019,Others,"701,952"
