Year,Consignment,Value
2012,THE MAINLAND OF CHINA,"3,698,621"
2012,USA,"542,964"
2012,TAIWAN,"325,732"
2012,JAPAN,"455,575"
2012,SINGAPORE,"302,297"
2012,KOREA,"212,379"
2012,MALAYSIA,"112,421"
2012,INDIA,"159,013"
2012,VIET NAM,"87,269"
2012,THAILAND,"114,628"
2012,Others,"1,335,611"
2013,THE MAINLAND OF CHINA,"3,891,378"
2013,USA,"550,981"
2013,TAIWAN,"339,253"
2013,JAPAN,"421,572"
2013,SINGAPORE,"305,021"
2013,KOREA,"222,838"
2013,MALAYSIA,"114,301"
2013,INDIA,"170,622"
2013,VIET NAM,"97,829"
2013,THAILAND,"120,861"
2013,Others,"1,385,749"
2014,THE MAINLAND OF CHINA,"3,965,980"
2014,USA,"561,055"
2014,TAIWAN,"379,575"
2014,JAPAN,"420,396"
2014,SINGAPORE,"320,651"
2014,KOREA,"237,921"
2014,MALAYSIA,"132,074"
2014,INDIA,"190,312"
2014,VIET NAM,"109,283"
2014,THAILAND,"137,270"
2014,Others,"1,437,279"
2015,THE MAINLAND OF CHINA,"3,920,564"
2015,USA,"553,126"
2015,TAIWAN,"339,414"
2015,JAPAN,"383,067"
2015,SINGAPORE,"304,318"
2015,KOREA,"226,465"
2015,MALAYSIA,"123,283"
2015,INDIA,"184,745"
2015,VIET NAM,"127,522"
2015,THAILAND,"134,003"
2015,Others,"1,355,193"
2016,THE MAINLAND OF CHINA,"3,860,300"
2016,USA,"530,684"
2016,TAIWAN,"366,587"
2016,JAPAN,"363,444"
2016,SINGAPORE,"322,979"
2016,KOREA,"250,267"
2016,MALAYSIA,"117,857"
2016,INDIA,"209,474"
2016,VIET NAM,"126,437"
2016,THAILAND,"130,535"
2016,Others,"1,318,066"
2017,THE MAINLAND OF CHINA,"4,135,974"
2017,USA,"543,935"
2017,TAIWAN,"419,050"
2017,JAPAN,"381,868"
2017,SINGAPORE,"349,130"
2017,KOREA,"308,728"
2017,MALAYSIA,"143,539"
2017,INDIA,"266,047"
2017,VIET NAM,"141,277"
2017,THAILAND,"143,777"
2017,Others,"1,399,577"
2018,THE MAINLAND OF CHINA,"4,473,570"
2018,USA,"587,924"
2018,TAIWAN,"424,617"
2018,JAPAN,"389,282"
2018,SINGAPORE,"383,277"
2018,KOREA,"336,181"
2018,MALAYSIA,"224,156"
2018,INDIA,"226,735"
2018,VIET NAM,"149,354"
2018,THAILAND,"152,690"
2018,Others,"1,531,719"
2019,THE MAINLAND OF CHINA,"4,268,945"
2019,USA,"516,906"
2019,TAIWAN,"418,728"
2019,JAPAN,"373,613"
2019,SINGAPORE,"362,656"
2019,KOREA,"276,626"
2019,MALAYSIA,"196,562"
2019,INDIA,"192,991"
2019,VIET NAM,"158,586"
2019,THAILAND,"141,356"
2019,Others,"1,497,157"
