Date,Value
2016-01,1238
2016-02,1252.3
2016-03,1244.6
2016-04,1242.8
2016-05,1244
2016-06,1240.8
2016-07,1218.8
2016-08,1185.1
2016-09,1157
2016-10,1115.7
2016-11,1049.3
2016-12,1058.4
2017-01,1051.1
2017-02,1059.7
2017-03,1088.1
2017-04,1092.2
2017-05,1102.2
2017-06,1146.5
2017-07,1166.9
2017-08,1201.7
2017-09,1182.3
2017-10,1189.2
2017-11,1176.6
2017-12,1184.9
2018-01,1168.2
2018-02,1176.7
2018-03,1187.7
2018-04,1181.9
2018-05,1183.1
2018-06,1191.2
2018-07,1171
2018-08,1165.1
2018-09,1151.4
2018-10,1138.9
2018-11,1121.4
2018-12,1124.3
2019-01,1126.7
2019-02,1130.9
2019-03,1120.5
2019-04,1113
2019-05,1110.2
2019-06,1112.5
2019-07,1110.3
2019-08,1103.5
2019-09,1102.4
2019-10,1101.5
2019-11,1089.1
2019-12,1069.9
