date,cci
1997-07,100
1997-08,97.91
1997-09,98.13
1997-10,100.85
1997-11,91.64
1997-12,86.24
1998-01,77.79
1998-02,71.58
1998-03,74.96
1998-04,71.72
1998-05,68.83
1998-06,58.62
1998-07,55.51
1998-08,53.81
1998-09,50.13
1998-10,47.94
1998-11,52.14
1998-12,55.34
1999-01,55.76
1999-02,55.45
1999-03,55.21
1999-04,56.17
1999-05,57.05
1999-06,56.62
1999-07,56.41
1999-08,55.53
1999-09,53.7
1999-10,52.78
1999-11,51.22
1999-12,52.19
2000-01,53.4
2000-02,53.48
2000-03,53.46
2000-04,52.39
2000-05,49.82
2000-06,46.29
2000-07,46.9
2000-08,47.1
2000-09,47.49
2000-10,47.4
2000-11,45.79
2000-12,44.31
2001-01,43.8
2001-02,43.37
2001-03,44.74
2001-04,44.11
2001-05,43.1
2001-06,43.05
2001-07,42.37
2001-08,42
2001-09,41.08
2001-10,39.25
2001-11,39.27
2001-12,39.68
2002-01,39.9
2002-02,39.64
2002-03,39.76
2002-04,39.53
2002-05,39.43
2002-06,39.25
2002-07,38.71
2002-08,37.92
2002-09,36.65
2002-10,35.69
2002-11,34.95
2002-12,34.83
2003-01,34.74
2003-02,34.43
2003-03,33.45
2003-04,32.18
2003-05,31.34
2003-06,31.37
2003-07,31.74
2003-08,31.73
2003-09,32.88
2003-10,34.9
2003-11,36.26
2003-12,37.35
2004-01,39.01
2004-02,41.93
2004-03,44.85
2004-04,46.51
2004-05,46.65
2004-06,45.78
2004-07,45.83
2004-08,45.63
2004-09,45.87
2004-10,47.6
2004-11,48.58
2004-12,49.13
2005-01,49.42
2005-02,50.17
2005-03,52.39
2005-04,54.64
2005-05,55.11
2005-06,54.77
2005-07,54.45
2005-08,54.72
2005-09,54.91
2005-10,54.69
2005-11,53.06
2005-12,51.81
2006-01,52.42
2006-02,52.94
2006-03,53.07
2006-04,53.34
2006-05,53.26
2006-06,52.71
2006-07,52.37
2006-08,52.35
2006-09,52.21
2006-10,52.29
2006-11,52.34
2006-12,52.43
2007-01,52.77
2007-02,53.31
2007-03,53.82
2007-04,54.27
2007-05,54.81
2007-06,55.66
2007-07,55.9
2007-08,56.64
2007-09,57.32
2007-10,58.42
2007-11,61.59
2007-12,65.34
2008-01,68.87
2008-02,71.78
2008-03,72.78
2008-04,71.3
2008-05,71.28
2008-06,71.99
2008-07,71.08
2008-08,68.65
2008-09,67.24
2008-10,62.09
2008-11,55.51
2008-12,55.46
2009-01,56.81
2009-02,57.46
2009-03,58.43
2009-04,60.92
2009-05,63.29
2009-06,66.13
2009-07,68.13
2009-08,70.05
2009-09,71.99
2009-10,72.91
2009-11,72.67
2009-12,73.34
2010-01,75.27
2010-02,76.76
2010-03,77.7
2010-04,78.82
2010-05,79.05
2010-06,79.01
2010-07,81.02
2010-08,82.73
2010-09,83.77
2010-10,85.17
2010-11,87.27
2010-12,87.52
2011-01,89.8
2011-02,93.37
2011-03,95.65
2011-04,96.43
2011-05,98.42
2011-06,99.36
2011-07,97.94
2011-08,97.82
2011-09,97.73
2011-10,95.86
2011-11,95.3
2011-12,94.13
2012-01,92.67
2012-02,94.02
2012-03,98.11
2012-04,100.74
2012-05,102.28
2012-06,102.44
2012-07,103.64
2012-08,105.55
2012-09,108.4
2012-10,111.89
2012-11,113.39
2012-12,113.48
2013-01,116.48
2013-02,120.12
2013-03,121.53
2013-04,116.83
2013-05,116.74
2013-06,118.39
2013-07,118.77
2013-08,118.17
2013-09,117.94
2013-10,117.24
2013-11,117.14
2013-12,116.52
2014-01,115.91
2014-02,115.77
2014-03,115.91
2014-04,116.49
2014-05,117.52
2014-06,118.75
2014-07,121.13
2014-08,123.67
2014-09,124.87
2014-10,126.54
2014-11,127.34
2014-12,130.16
2015-01,132.51
2015-02,135.28
2015-03,135.8
2015-04,137.47
2015-05,138.5
2015-06,140.35
2015-07,142.3
2015-08,143.46
2015-09,142.09
2015-10,138.99
2015-11,136.51
2015-12,133.13
2016-01,129.11
2016-02,126.59
2016-03,125.42
2016-04,125.55
2016-05,125.76
2016-06,127.22
2016-07,128.57
2016-08,132.45
2016-09,135.83
2016-10,140.14
2016-11,140.66
2016-12,141.17
2017-01,142.16
2017-02,144.6
2017-03,147.24
2017-04,151.25
2017-05,152.16
2017-06,153.53
2017-07,154.31
2017-08,157.2
2017-09,157.92
2017-10,158.7
2017-11,161.49
2017-12,163.22
2018-01,165.08
2018-02,167.96
2018-03,173.01
2018-04,176.11
2018-05,179.63
2018-06,183.43
2018-07,185.25
2018-08,185.31
2018-09,182.04
2018-10,179.44
2018-11,170.04
2018-12,167.12
2019-01,165.41
2019-02,167.61
2019-03,174.54
2019-04,179.73
2019-05,185.23
2019-06,184.24
2019-07,184.2
2019-08,183.93
2019-09,176.07
2019-10,172.4
2019-11,176.54
2019-12,173.77
2020-01,173.55
2020-02,171.15
2020-03,171.79
2020-04,172.33
2020-05,175.82
2020-06,176.34
2020-07,177.80
2020-08,173.80
2020-09,174.40
